Motorvoertuigenpark," inwoners, type, regio, 1 januari",,,,,,,,,,
Periods: 2019,,,,,,,,,,,
,Topic,,,,,,,,,,
,Wegvoertuigen|Totaal wegvoertuigen,Wegvoertuigen|Totaal motorvoertuigen,Personenauto's|Totaal personenauto's,Personenauto's|Personenauto's (relatief),Personenauto's|In bezit natuurlijke personen,Personenauto's|In bezit natuurlijke personen (relatief),Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers,Motorfietsen|Totaal motorfietsen,Motorfietsen|Motorfietsen (relatief)
Regions,number of,number of,number of,per 1000 inhabitants,number of,per 1000 inhabitants,number of,number of,number of,number of,per 1000 inhabitants
The Netherlands,11495837,10323094,8530584,494,7535863,436,2299373,1126630,1172743,665880,39
Groningen (PV),391140,343747,279580,479,255841,438,85861,38468,47393,25699,44
Friesland (PV),480978,416830,330195,510,312002,482,119932,55784,64148,30851,48
Drenthe (PV),381857,328942,265587,540,252214,512,89678,36763,52915,26592,54
Overijssel (PV),815713,709050,577732,500,530345,459,187506,80843,106663,50475,44
Flevoland (PV),464329,440161,374268,899,174743,420,74534,50366,24168,15527,37
Gelderland (PV),1432980,1261624,1031386,498,964987,466,315252,143896,171356,86342,42
Utrecht (PV),903958,832542,695976,519,545897,407,162299,90883,71416,45683,34
North Holland (PV),1597155,1471724,1213797,425,1081241,379,278709,153278,125431,104649,37
South Holland (PV),2066115,1881744,1579739,430,1436851,391,373855,189484,184371,112521,31
Zealand (PV),286220,251486,203980,533,193506,505,64436,29702,34734,17804,46
North Brabant (PV),1887790,1683573,1389892,546,1225498,482,395378,191161,204217,102520,40
Limburg (PV),787602,701671,588452,527,562738,504,151933,66002,85931,47217,42
Bron: CBS,,,,,,,,,,,
