Motorvoertuigenpark," inwoners, type, regio, 1 januari",,,,,,,,,,
Periods: 2021,,,,,,,,,,,
,Topic,,,,,,,,,,
,Wegvoertuigen|Totaal wegvoertuigen,Wegvoertuigen|Totaal motorvoertuigen,Personenauto's|Totaal personenauto's,Personenauto's|Personenauto's (relatief),Personenauto's|In bezit natuurlijke personen,Personenauto's|In bezit natuurlijke personen (relatief),Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal bedrijfsmotorvoertuigen,Bedrijfsvoertuigen|Totaal bedrijfsvoertuigen|Totaal aanhangwagens en opleggers,Motorfietsen|Totaal motorfietsen,Motorfietsen|Motorfietsen (relatief)
Regions,number of,number of,number of,per 1000 inhabitants,number of,per 1000 inhabitants,number of,number of,number of,number of,per 1000 inhabitants
The Netherlands,11864930,10665280,8793592,503,7787021,446,2371236,1171586,1199650,700102,40
Groningen (PV),405594,356803,289065,492,265665,453,89489,40698,48791,27040,46
Friesland (PV),500088,433732,342948,526,323297,496,124774,58418,66356,32366,50
Drenthe (PV),397078,342881,276258,558,260979,527,92664,38467,54197,28156,57
Overijssel (PV),847664,737626,597656,512,548641,470,196849,86811,110038,53159,46
Flevoland (PV),456336,431559,366941,857,184875,432,73142,48365,24777,16253,38
Gelderland (PV),1485254,1308097,1067820,509,1000681,477,326337,149180,177157,91097,43
Utrecht (PV),946002,873306,728384,535,564028,414,169690,96994,72696,47928,35
North Holland (PV),1643481,1517157,1250757,433,1114207,386,284027,157703,126324,108697,38
South Holland (PV),2136399,1,,,,,,,,,
Zealand (PV),293657,258230,209261,543,199143,517,65718,30291,35427,18678,48
North Brabant (PV),1947690,1737452,1429822,555,1263858,491,410269,200031,210238,107599,42
Limburg (PV),805687,718687,602167,540,576560,517,154623,67623,87000,48897,44
Bron: CBS,,,,,,,,,,,
